sample_name	cluster
TCGA-HQ-A2OF	1
TCGA-GU-A767	4
TCGA-ZF-AA4R	4
TCGA-DK-A1AC	1
TCGA-DK-A3IT	4
TCGA-GC-A3RD	2
TCGA-BT-A0YX	3
TCGA-FD-A6TE	1
TCGA-E7-A5KE	1
TCGA-DK-A3IQ	4
TCGA-UY-A9PA	3
TCGA-XF-A9SH	4
TCGA-DK-A3WY	5
TCGA-E5-A4TZ	1
TCGA-4Z-AA7S	1
TCGA-BT-A20X	5
TCGA-CU-A72E	2
TCGA-E7-A7DV	5
TCGA-GV-A3QF	1
TCGA-GV-A40G	1
TCGA-FD-A43Y	3
TCGA-FD-A3B6	3
TCGA-G2-AA3D	2
TCGA-K4-AAQO	4
TCGA-4Z-AA7Q	3
TCGA-DK-AA6L	3
TCGA-G2-A2EL	1
TCGA-GU-A766	5
TCGA-DK-AA71	2
TCGA-FD-A5BS	5
TCGA-FD-A43X	2
TCGA-FD-A6TA	4
TCGA-K4-A5RH	5
TCGA-FD-A5BV	1
TCGA-MV-A51V	1
TCGA-ZF-AA4N	3
TCGA-DK-A3X1	4
TCGA-XF-A9T0	4
TCGA-DK-A2I2	3
TCGA-XF-A9SL	5
TCGA-ZF-A9R7	2
TCGA-GV-A3QI	1
TCGA-XF-AAN8	5
TCGA-CF-A5UA	2
TCGA-GC-A3WC	5
TCGA-FD-A6TC	4
TCGA-FD-A3N5	3
TCGA-FD-A6TH	3
TCGA-GV-A3JV	1
TCGA-DK-AA75	1
TCGA-E7-A3X6	2
TCGA-E7-A519	2
TCGA-DK-A3IK	4
TCGA-BT-A20R	4
TCGA-FD-A3SN	3
TCGA-ZF-A9R4	1
TCGA-FD-A3B3	5
TCGA-DK-A1AF	5
TCGA-BL-A13I	5
TCGA-G2-A2EO	4
TCGA-ZF-A9RM	1
TCGA-G2-A2EJ	3
TCGA-KQ-A41N	1
TCGA-DK-AA6M	3
TCGA-CF-A47W	2
TCGA-DK-A6B6	1
TCGA-DK-AA6U	1
TCGA-XF-AAMZ	4
TCGA-GU-AATP	4
TCGA-E7-A97Q	4
TCGA-ZF-AA4W	3
TCGA-BL-A3JM	1
TCGA-4Z-AA84	3
TCGA-G2-AA3B	1
TCGA-XF-AAML	1
TCGA-CF-A8HX	2
TCGA-UY-A78K	1
TCGA-BT-A42F	5
TCGA-FD-A3SM	4
TCGA-K4-A6MB	4
TCGA-CF-A47V	2
TCGA-4Z-AA81	3
TCGA-UY-A8OD	4
TCGA-E7-A6ME	1
TCGA-DK-AA6S	4
TCGA-UY-A9PB	3
TCGA-CF-A9FL	2
TCGA-UY-A9PH	4
TCGA-C4-A0F0	3
TCGA-G2-A3IB	3
TCGA-HQ-A2OE	1
TCGA-XF-AAN4	5
TCGA-CF-A47T	2
TCGA-GU-A42R	2
TCGA-UY-A9PF	4
TCGA-DK-A1A7	1
TCGA-FD-A5BT	5
TCGA-CF-A3MH	2
TCGA-PQ-A6FI	3
TCGA-GV-A40E	3
TCGA-YF-AA3M	3
TCGA-CF-A9FH	2
TCGA-H4-A2HQ	2
TCGA-CU-A0YN	3
TCGA-XF-A8HG	1
TCGA-XF-A9SU	4
TCGA-GV-A3QK	2
