sample_name	cluster
TCGA-D8-A1XJ	2
TCGA-EW-A6SA	5
TCGA-D8-A27H	4
TCGA-E9-A247	5
TCGA-AC-A2FG	3
TCGA-B6-A0RP	1
TCGA-BH-A0DH	1
TCGA-AN-A0AM	2
TCGA-D8-A1XZ	2
TCGA-E2-A154	1
TCGA-A1-A0SQ	5
TCGA-A8-A06T	1
TCGA-BH-A0BD	1
TCGA-E2-A14P	2
TCGA-B6-A0IQ	4
TCGA-E9-A1R7	5
TCGA-C8-A1HE	1
TCGA-AR-A24W	3
TCGA-B6-A0RQ	3
TCGA-AN-A0FY	1
TCGA-AO-A129	4
TCGA-E9-A1RC	1
TCGA-EW-A1J1	1
TCGA-GM-A2DO	5
TCGA-AR-A24N	1
TCGA-AC-A3TN	1
TCGA-A8-A094	2
TCGA-E2-A1IJ	3
TCGA-A7-A3J1	3
TCGA-D8-A73W	1
TCGA-GM-A2DF	4
TCGA-A7-A4SF	5
TCGA-AC-A3EH	1
TCGA-D8-A143	4
TCGA-BH-A0H9	3
TCGA-EW-A1PA	5
TCGA-EW-A1PF	3
TCGA-LL-A7SZ	5
TCGA-AR-A24O	3
TCGA-B6-A2IU	1
TCGA-AC-A2QI	3
TCGA-BH-A0DS	1
TCGA-LD-A9QF	2
TCGA-D8-A1X8	3
TCGA-A7-A4SD	4
TCGA-D8-A1JD	2
TCGA-LL-A441	4
TCGA-AN-A0FF	1
TCGA-D8-A27V	3
TCGA-A2-A1FV	5
TCGA-AC-A3TM	1
TCGA-E2-A15E	3
TCGA-A2-A4S0	1
TCGA-E2-A1LL	2
TCGA-BH-A0BJ	3
TCGA-BH-A202	2
TCGA-EW-A6SC	3
TCGA-AR-A24T	3
TCGA-AN-A0FS	3
TCGA-A2-A0CL	2
TCGA-B6-A401	3
TCGA-A8-A085	5
TCGA-D8-A1JG	2
TCGA-A8-A09A	5
TCGA-GM-A3XL	4
TCGA-PL-A8LZ	4
TCGA-AR-A0TR	1
TCGA-GM-A3XN	3
TCGA-LL-A5YM	5
TCGA-XX-A899	3
TCGA-A2-A0CK	3
TCGA-E9-A22D	5
TCGA-B6-A0RM	5
TCGA-AR-A0TS	4
TCGA-A2-A0YT	5
TCGA-AR-A1AY	4
TCGA-AC-A2B8	3
TCGA-AQ-A54O	1
TCGA-E9-A1RA	3
TCGA-A8-A096	1
TCGA-E2-A156	1
TCGA-C8-A12M	5
TCGA-E2-A15M	3
TCGA-E2-A15R	5
TCGA-B6-A0IG	2
TCGA-BH-A0HX	5
TCGA-D8-A1X6	5
TCGA-A8-A07F	1
TCGA-AO-A1KO	3
TCGA-AN-A0FN	3
TCGA-A2-A04T	4
TCGA-A7-A26I	4
TCGA-A8-A07J	3
TCGA-A1-A0SN	2
TCGA-A8-A07G	2
TCGA-BH-A0DP	3
TCGA-D8-A1JN	1
TCGA-A7-A26H	1
TCGA-A2-A0T0	4
TCGA-C8-A12Q	2
TCGA-E2-A1BC	3
TCGA-BH-A0BF	2
TCGA-E9-A5UP	5
TCGA-B6-A0RL	5
TCGA-A8-A095	1
TCGA-A2-A04Q	4
TCGA-D8-A1XL	2
TCGA-BH-A0BR	2
TCGA-B6-A0X0	1
TCGA-EW-A423	5
TCGA-GM-A2D9	1
TCGA-B6-A1KI	1
TCGA-A8-A092	2
TCGA-AR-A24Q	4
TCGA-AR-A1AI	4
TCGA-LL-A6FR	4
TCGA-AR-A250	2
TCGA-BH-A0B3	4
TCGA-E2-A1LK	4
TCGA-BH-A0AW	2
TCGA-AN-A0FZ	5
TCGA-LL-A5YO	4
TCGA-W8-A86G	3
TCGA-A8-A06O	5
TCGA-D8-A1XC	1
TCGA-B6-A0I9	2
TCGA-B6-A0IO	5
TCGA-UL-AAZ6	5
TCGA-BH-A201	3
TCGA-AO-A0JC	3
TCGA-A8-A09I	2
TCGA-A2-A1G4	5
TCGA-AC-A4ZE	5
TCGA-E9-A54X	1
TCGA-A8-A06Z	1
TCGA-E9-A1N4	3
TCGA-B6-A0WW	5
TCGA-AO-A0JJ	3
TCGA-D8-A27G	5
TCGA-EW-A1J6	5
TCGA-AC-A8OS	3
TCGA-B6-A0WY	3
TCGA-LL-A6FQ	5
TCGA-E2-A14Z	3
TCGA-A7-A13G	1
TCGA-AN-A0FD	1
TCGA-C8-A3M7	3
TCGA-D8-A73U	3
TCGA-LD-A66U	3
TCGA-GM-A2DK	3
TCGA-A2-A04N	1
TCGA-EW-A1P4	4
TCGA-AR-A0TP	4
TCGA-A8-A075	2
TCGA-EW-A1J5	5
TCGA-BH-A18M	3
TCGA-AQ-A54N	4
TCGA-AN-A0XP	1
TCGA-E2-A15A	5
TCGA-A2-A4S3	2
TCGA-BH-AB28	3
TCGA-E2-A10B	1
TCGA-E2-A10E	1
TCGA-LL-A5YP	4
TCGA-B6-A0RS	2
TCGA-BH-A1F8	5
TCGA-A2-A0T4	3
TCGA-AO-A03O	5
TCGA-BH-A18P	1
TCGA-C8-A26Z	5
TCGA-BH-A1EX	2
TCGA-LL-A73Y	4
TCGA-A7-A425	3
TCGA-D8-A1JK	2
TCGA-D8-A27F	4
TCGA-AR-A1AK	3
TCGA-EW-A1PE	1
TCGA-C8-A274	1
TCGA-E2-A14T	5
TCGA-AR-A24X	1
TCGA-A2-A0SW	2
TCGA-AO-A0JF	3
TCGA-AQ-A0Y5	2
TCGA-C8-A1HJ	4
TCGA-C8-A273	5
TCGA-AO-A12G	1
TCGA-B6-A0WS	3
TCGA-OL-A6VQ	3
TCGA-A2-A0EX	3
TCGA-BH-A0BW	4
TCGA-A7-A13F	5
TCGA-A2-A25C	1
TCGA-A7-A26G	4
TCGA-A8-A06R	2
TCGA-E2-A1II	4
TCGA-AR-A2LQ	3
TCGA-A7-A2KD	2
TCGA-AN-A0XW	2
TCGA-C8-A12U	5
TCGA-BH-A0GZ	1
TCGA-D8-A1Y0	3
TCGA-AC-A2QH	2
