sample_name	cluster
TCGA-BP-4782	1
TCGA-CJ-4916	4
TCGA-CW-5580	3
TCGA-BP-4165	4
TCGA-B0-5706	1
TCGA-B0-4710	4
TCGA-B8-4619	2
TCGA-BP-4167	1
TCGA-BP-4763	1
TCGA-B0-4706	4
TCGA-CZ-4864	4
TCGA-BP-5001	4
TCGA-B0-5695	4
TCGA-B0-5096	3
TCGA-CJ-5680	3
TCGA-DV-5565	4
TCGA-B0-5693	4
TCGA-B0-4838	1
TCGA-CJ-5684	4
TCGA-B0-4712	3
TCGA-B0-5713	4
TCGA-B0-5710	1
TCGA-BP-4761	3
TCGA-CJ-4882	1
TCGA-BP-4998	1
TCGA-BP-5202	4
TCGA-BP-5184	4
TCGA-BP-4989	1
TCGA-CZ-5465	4
TCGA-CJ-4903	4
TCGA-CZ-4863	1
TCGA-BP-4174	1
TCGA-B0-4828	4
TCGA-B0-5690	4
TCGA-CJ-4908	1
TCGA-BP-4971	1
TCGA-B8-5545	1
TCGA-BP-4332	1
TCGA-BP-4340	4
TCGA-CZ-5467	1
TCGA-B0-4815	3
TCGA-DV-A4W0	4
TCGA-BP-4173	1
TCGA-A3-A6NL	1
TCGA-BP-4326	1
TCGA-CJ-6032	4
TCGA-BP-4176	3
TCGA-B0-4945	1
TCGA-BP-4981	1
TCGA-B0-4810	1
TCGA-BP-4762	1
TCGA-CW-5589	1
TCGA-B0-4816	1
TCGA-CZ-4856	4
TCGA-A3-3363	4
TCGA-AK-3445	3
TCGA-B0-5075	3
TCGA-B8-5552	1
TCGA-AK-3465	2
TCGA-B8-5550	1
TCGA-CJ-4920	3
TCGA-A3-3326	4
TCGA-BP-4993	4
TCGA-BP-5170	1
TCGA-CJ-4878	4
TCGA-B0-5115	4
TCGA-A3-3347	3
TCGA-B0-4718	4
TCGA-B8-4146	4
TCGA-BP-4776	1
TCGA-B0-4847	4
TCGA-B0-4836	3
TCGA-CJ-4912	3
TCGA-CJ-4923	3
TCGA-B0-4694	3
TCGA-AK-3455	4
TCGA-BP-4790	1
TCGA-CJ-4892	1
TCGA-AK-3426	3
TCGA-B0-4714	4
TCGA-B0-4845	4
TCGA-BP-4994	2
TCGA-A3-3351	1
TCGA-B8-5165	1
TCGA-BP-4765	1
TCGA-EU-5904	4
TCGA-B0-5699	4
TCGA-B0-5399	4
TCGA-B8-5546	4
TCGA-CJ-4638	3
TCGA-BP-4347	1
TCGA-BP-5183	4
TCGA-G6-A8L6	4
TCGA-CJ-5672	1
TCGA-B8-5553	1
TCGA-A3-3378	1
TCGA-BP-4759	1
TCGA-B0-4813	3
TCGA-CW-5584	4
TCGA-BP-4355	1
TCGA-A3-3316	3
TCGA-B0-4697	1
TCGA-B0-5698	4
TCGA-BP-5008	1
TCGA-MW-A4EC	4
TCGA-CZ-5988	1
TCGA-CJ-6033	3
TCGA-B0-5077	1
TCGA-BP-5195	1
TCGA-B2-5639	1
TCGA-A3-3383	4
TCGA-CJ-4640	1
TCGA-BP-5189	3
TCGA-B0-5701	3
TCGA-A3-A6NN	4
TCGA-CJ-4899	1
TCGA-CZ-5987	3
TCGA-BP-5185	4
TCGA-CZ-5462	3
TCGA-CZ-5460	4
TCGA-B0-4688	3
TCGA-CZ-5452	4
TCGA-AK-3461	4
TCGA-A3-3320	4
TCGA-B0-5104	4
TCGA-B4-5843	4
TCGA-CJ-4890	1
TCGA-CW-5581	1
TCGA-BP-4768	4
TCGA-B2-4102	1
TCGA-CJ-4636	1
TCGA-B0-5106	1
TCGA-BP-5192	4
TCGA-AK-3458	4
TCGA-CJ-4637	1
TCGA-B0-4846	4
TCGA-B2-4099	4
TCGA-B8-4621	3
TCGA-BP-5200	1
TCGA-CJ-6028	3
TCGA-B0-5696	4
TCGA-BP-4334	2
TCGA-AK-3454	4
TCGA-A3-3376	1
TCGA-B2-4098	1
TCGA-B0-5703	4
TCGA-B0-5085	4
TCGA-B0-5102	1
TCGA-GK-A6C7	4
TCGA-B0-5119	4
TCGA-BP-4798	1
TCGA-BP-4803	3
TCGA-B8-5551	3
TCGA-B0-4696	2
TCGA-A3-3374	2
TCGA-BP-4787	3
TCGA-A3-3373	4
TCGA-B0-4852	4
TCGA-CJ-4884	4
TCGA-B0-4707	3
TCGA-BP-5177	1
TCGA-BP-4977	1
TCGA-CZ-5989	1
TCGA-BP-4777	1
TCGA-DV-5569	1
TCGA-B8-4622	3
TCGA-CJ-4886	1
TCGA-CJ-4889	1
TCGA-AS-3777	2
TCGA-B0-5692	4
TCGA-CJ-5686	1
TCGA-B4-5838	1
TCGA-T7-A92I	4
TCGA-B0-5107	3
TCGA-AK-3456	4
TCGA-CW-5591	2
TCGA-CJ-6030	3
TCGA-B8-4620	3
TCGA-CW-6088	4
TCGA-BP-4346	1
TCGA-CZ-4853	4
TCGA-G6-A5PC	4
TCGA-BP-4177	1
TCGA-CZ-5453	4
TCGA-A3-3317	3
TCGA-CW-6087	3
TCGA-B0-4839	1
TCGA-BP-4983	3
TCGA-B8-4151	4
TCGA-B8-5162	1
TCGA-AK-3460	4
TCGA-BP-4325	4
TCGA-CZ-4854	3
TCGA-CJ-4897	4
