sample_name	cluster
TCGA-BP-4782	3
TCGA-CJ-4916	3
TCGA-CW-5580	3
TCGA-BP-4165	3
TCGA-B0-5706	3
TCGA-B0-4710	3
TCGA-B8-4619	3
TCGA-BP-4167	3
TCGA-BP-4763	3
TCGA-B0-4706	3
TCGA-CZ-4864	3
TCGA-BP-5001	3
TCGA-B0-5695	3
TCGA-B0-5096	3
TCGA-CJ-5680	3
TCGA-DV-5565	3
TCGA-B0-5693	3
TCGA-B0-4838	3
TCGA-CJ-5684	3
TCGA-B0-4712	3
TCGA-B0-5713	3
TCGA-B0-5710	3
TCGA-BP-4761	3
TCGA-CJ-4882	3
TCGA-BP-4998	3
TCGA-BP-5202	3
TCGA-BP-5184	3
TCGA-BP-4989	3
TCGA-CZ-5465	3
TCGA-CJ-4903	3
TCGA-CZ-4863	3
TCGA-BP-4174	3
TCGA-B0-4828	3
TCGA-B0-5690	3
TCGA-CJ-4908	3
TCGA-BP-4971	3
TCGA-B8-5545	3
TCGA-BP-4332	3
TCGA-BP-4340	3
TCGA-CZ-5467	3
TCGA-B0-4815	3
TCGA-DV-A4W0	3
TCGA-BP-4173	3
TCGA-A3-A6NL	3
TCGA-BP-4326	3
TCGA-CJ-6032	3
TCGA-BP-4176	3
TCGA-B0-4945	3
TCGA-BP-4981	3
TCGA-B0-4810	3
TCGA-BP-4762	3
TCGA-CW-5589	3
TCGA-B0-4816	3
TCGA-CZ-4856	3
TCGA-A3-3363	3
TCGA-AK-3445	3
TCGA-B0-5075	3
TCGA-B8-5552	3
TCGA-AK-3465	3
TCGA-B8-5550	3
TCGA-CJ-4920	3
TCGA-A3-3326	3
TCGA-BP-4993	3
TCGA-BP-5170	3
TCGA-CJ-4878	3
TCGA-B0-5115	3
TCGA-A3-3347	3
TCGA-B0-4718	3
TCGA-B8-4146	3
TCGA-BP-4776	3
TCGA-B0-4847	3
TCGA-B0-4836	3
TCGA-CJ-4912	3
TCGA-CJ-4923	3
TCGA-B0-4694	3
TCGA-AK-3455	3
TCGA-BP-4790	3
TCGA-CJ-4892	3
TCGA-AK-3426	3
TCGA-B0-4714	3
TCGA-B0-4845	3
TCGA-BP-4994	3
TCGA-A3-3351	3
TCGA-B8-5165	3
TCGA-BP-4765	3
TCGA-EU-5904	3
TCGA-B0-5699	3
TCGA-B0-5399	3
TCGA-B8-5546	3
TCGA-CJ-4638	3
TCGA-BP-4347	3
TCGA-BP-5183	3
TCGA-G6-A8L6	3
TCGA-CJ-5672	3
TCGA-B8-5553	3
TCGA-A3-3378	3
TCGA-BP-4759	3
TCGA-B0-4813	3
TCGA-CW-5584	3
TCGA-BP-4355	3
TCGA-A3-3316	3
TCGA-B0-4697	3
TCGA-B0-5698	3
TCGA-BP-5008	3
TCGA-MW-A4EC	3
TCGA-CZ-5988	3
TCGA-CJ-6033	3
TCGA-B0-5077	3
TCGA-BP-5195	3
TCGA-B2-5639	3
TCGA-A3-3383	3
TCGA-CJ-4640	3
TCGA-BP-5189	3
TCGA-B0-5701	3
TCGA-A3-A6NN	3
TCGA-CJ-4899	3
TCGA-CZ-5987	3
TCGA-BP-5185	3
TCGA-CZ-5462	3
TCGA-CZ-5460	3
TCGA-B0-4688	3
TCGA-CZ-5452	3
TCGA-AK-3461	3
TCGA-A3-3320	3
TCGA-B0-5104	3
TCGA-B4-5843	3
TCGA-CJ-4890	3
TCGA-CW-5581	3
TCGA-BP-4768	3
TCGA-B2-4102	3
TCGA-CJ-4636	3
TCGA-B0-5106	3
TCGA-BP-5192	3
TCGA-AK-3458	3
TCGA-CJ-4637	3
TCGA-B0-4846	3
TCGA-B2-4099	3
TCGA-B8-4621	3
TCGA-BP-5200	3
TCGA-CJ-6028	3
TCGA-B0-5696	3
TCGA-BP-4334	3
TCGA-AK-3454	3
TCGA-A3-3376	3
TCGA-B2-4098	3
TCGA-B0-5703	3
TCGA-B0-5085	3
TCGA-B0-5102	3
TCGA-GK-A6C7	3
TCGA-B0-5119	3
TCGA-BP-4798	3
TCGA-BP-4803	3
TCGA-B8-5551	3
TCGA-B0-4696	2
TCGA-A3-3374	3
TCGA-BP-4787	3
TCGA-A3-3373	3
TCGA-B0-4852	3
TCGA-CJ-4884	3
TCGA-B0-4707	3
TCGA-BP-5177	3
TCGA-BP-4977	3
TCGA-CZ-5989	3
TCGA-BP-4777	3
TCGA-DV-5569	3
TCGA-B8-4622	3
TCGA-CJ-4886	3
TCGA-CJ-4889	3
TCGA-AS-3777	3
TCGA-B0-5692	3
TCGA-CJ-5686	3
TCGA-B4-5838	3
TCGA-T7-A92I	3
TCGA-B0-5107	3
TCGA-AK-3456	3
TCGA-CW-5591	3
TCGA-CJ-6030	3
TCGA-B8-4620	3
TCGA-CW-6088	3
TCGA-BP-4346	3
TCGA-CZ-4853	3
TCGA-G6-A5PC	3
TCGA-BP-4177	3
TCGA-CZ-5453	3
TCGA-A3-3317	3
TCGA-CW-6087	3
TCGA-B0-4839	3
TCGA-BP-4983	3
TCGA-B8-4151	3
TCGA-B8-5162	3
TCGA-AK-3460	3
TCGA-BP-4325	3
TCGA-CZ-4854	3
TCGA-CJ-4897	3
TCGA-CJ-4881	3
TCGA-CJ-4643	3
TCGA-CJ-5675	3
TCGA-BP-4970	3
TCGA-B2-A4SR	3
TCGA-BP-4795	3
TCGA-B4-5377	3
TCGA-B0-4821	3
TCGA-B8-A54G	3
TCGA-B8-A8YJ	3
TCGA-6D-AA2E	3
TCGA-A3-3323	3
TCGA-BP-4758	3
TCGA-CJ-4888	3
TCGA-CZ-5458	3
TCGA-BP-4352	3
TCGA-CZ-5986	3
TCGA-CJ-5681	3
TCGA-B0-4827	3
TCGA-A3-3382	3
TCGA-CJ-4875	3
TCGA-EU-5907	3
TCGA-A3-3346	3
TCGA-CW-6090	3
TCGA-CJ-4644	3
TCGA-CZ-5457	3
TCGA-CJ-4893	3
TCGA-BP-4992	3
TCGA-B0-5084	3
TCGA-B0-4822	3
TCGA-BP-4807	3
TCGA-CJ-5682	3
TCGA-B0-5094	3
TCGA-BP-4766	3
TCGA-BP-5180	3
TCGA-CZ-4862	3
TCGA-BP-4335	3
TCGA-BP-4760	3
TCGA-B0-5712	3
TCGA-AK-3450	3
TCGA-CZ-5982	3
TCGA-B0-5080	3
TCGA-CZ-5985	3
TCGA-CJ-4891	3
TCGA-BP-5174	3
TCGA-BP-4991	3
TCGA-BP-4965	3
TCGA-CZ-4857	3
TCGA-BP-4169	3
TCGA-B0-5081	3
TCGA-BP-4959	3
TCGA-BP-5191	3
TCGA-B0-4834	3
TCGA-BP-4329	3
TCGA-BP-4770	3
TCGA-B0-4823	3
TCGA-B0-5100	3
TCGA-B2-3923	3
TCGA-CJ-4639	3
TCGA-AK-3434	3
TCGA-MM-A564	3
TCGA-DV-A4VX	3
TCGA-BP-4960	3
TCGA-CJ-5676	3
TCGA-B2-5641	3
TCGA-CZ-5470	3
TCGA-CZ-4866	3
TCGA-CZ-5464	3
TCGA-AK-3440	3
TCGA-B2-4101	3
TCGA-DV-5566	3
TCGA-B0-5120	3
TCGA-CJ-6031	3
TCGA-BP-4159	3
TCGA-A3-3324	3
TCGA-EU-5905	3
TCGA-B0-5117	3
TCGA-G6-A8L8	3
TCGA-B0-4842	3
TCGA-A3-3370	3
TCGA-CJ-5689	3
TCGA-BP-4972	3
TCGA-CJ-4887	3
TCGA-B0-4700	3
TCGA-B0-5092	3
TCGA-BP-4341	3
TCGA-B0-5812	3
TCGA-A3-3357	3
TCGA-CJ-4641	3
TCGA-BP-4338	3
TCGA-B4-5378	3
TCGA-A3-A6NI	3
TCGA-BP-4974	3
TCGA-B4-5836	3
TCGA-BP-5196	3
TCGA-G6-A8L7	3
TCGA-CW-5587	3
TCGA-BP-5187	3
TCGA-B0-4691	3
TCGA-BP-4164	3
TCGA-CZ-5455	3
TCGA-DV-A4VZ	3
TCGA-CJ-5677	3
TCGA-CW-6097	3
TCGA-BP-4797	3
TCGA-B4-5832	3
TCGA-B0-5099	3
TCGA-B0-5095	3
TCGA-CJ-6027	3
TCGA-B8-4143	3
TCGA-CZ-5454	3
TCGA-AK-3431	3
TCGA-A3-A8CQ	3
TCGA-B8-A54D	3
TCGA-B0-4843	3
TCGA-BP-5010	3
TCGA-DV-5576	3
TCGA-BP-4968	3
TCGA-B8-A54I	3
TCGA-BP-5194	3
TCGA-B0-4703	3
TCGA-B0-5402	3
TCGA-B8-4153	3
TCGA-BP-4987	3
TCGA-A3-3387	3
TCGA-B0-5711	3
TCGA-B0-5705	3
TCGA-BP-4330	3
TCGA-BP-4343	3
TCGA-CZ-5468	3
TCGA-DV-5575	3
TCGA-CZ-5463	3
TCGA-MM-A84U	3
TCGA-CZ-5456	3
TCGA-A3-3358	3
TCGA-B0-4848	3
TCGA-BP-5186	3
TCGA-BP-4337	3
TCGA-BP-4351	3
TCGA-B0-5098	3
TCGA-BP-4982	3
TCGA-B8-A54H	3
TCGA-CJ-4872	3
TCGA-B0-4833	3
TCGA-BP-5007	3
TCGA-B0-5113	3
TCGA-BP-4769	3
TCGA-BP-4801	3
TCGA-A3-3372	3
TCGA-BP-4985	3
TCGA-CJ-4634	3
TCGA-A3-3308	3
TCGA-B0-5088	3
TCGA-B0-4841	3
TCGA-AK-3453	3
TCGA-BP-5201	3
TCGA-CW-6093	3
TCGA-CZ-5466	3
TCGA-A3-3313	3
TCGA-B0-4817	3
TCGA-B0-4698	3
TCGA-A3-3322	3
TCGA-B0-5097	3
TCGA-B0-5110	3
TCGA-CJ-5671	3
TCGA-B0-5116	3
TCGA-B0-4844	3
TCGA-BP-4969	3
TCGA-BP-5004	3
TCGA-BP-4756	3
TCGA-A3-3380	3
TCGA-BP-4973	3
TCGA-BP-5000	3
TCGA-A3-3349	3
TCGA-BP-4781	3
TCGA-B4-5835	3
TCGA-BP-4771	3
TCGA-CW-5583	3
TCGA-CW-5588	3
TCGA-A3-3367	3
TCGA-BP-4354	3
TCGA-CZ-4859	3
TCGA-B0-5109	3
TCGA-CJ-4900	3
TCGA-AK-3444	3
TCGA-AK-3429	3
TCGA-CJ-4904	3
TCGA-B8-5158	3
TCGA-B0-5108	3
TCGA-AK-3443	3
TCGA-DV-5574	3
TCGA-A3-3362	3
TCGA-BP-4963	3
TCGA-BP-4804	3
TCGA-B8-A54J	3
TCGA-B0-5400	3
TCGA-B0-5691	3
TCGA-CJ-5679	3
TCGA-BP-5175	3
TCGA-BP-4789	3
TCGA-B0-4824	3
TCGA-B0-5121	3
TCGA-CZ-5459	3
TCGA-B0-4713	3
TCGA-A3-3331	3
TCGA-BP-4967	3
TCGA-B0-5709	3
TCGA-BP-4162	3
TCGA-CZ-4861	3
TCGA-EU-5906	3
TCGA-CJ-4885	3
TCGA-B8-5163	3
TCGA-BP-4962	3
TCGA-3Z-A93Z	3
TCGA-B0-4701	3
TCGA-B8-A54E	3
TCGA-BP-4961	3
TCGA-BP-4975	3
TCGA-AK-3428	3
TCGA-BP-4158	3
TCGA-B0-4690	3
TCGA-BP-5168	3
TCGA-CJ-5678	3
TCGA-CJ-4870	3
TCGA-A3-3365	3
TCGA-CJ-5683	3
TCGA-B8-5164	3
TCGA-B8-4154	3
TCGA-BP-4160	3
