sample_name	cluster
TCGA-VQ-A925	3
TCGA-BR-7959	3
TCGA-VQ-A91U	3
TCGA-BR-A4QI	3
TCGA-VQ-A94R	3
TCGA-B7-A5TK	3
TCGA-IN-A7NU	3
TCGA-RD-A8N2	3
TCGA-FP-A9TM	3
TCGA-VQ-A92D	3
TCGA-CD-5800	3
TCGA-CG-5721	3
TCGA-CG-5726	3
TCGA-CD-A48C	3
TCGA-FP-8099	3
TCGA-BR-A4PE	3
TCGA-HU-A4G2	3
TCGA-MX-A663	3
TCGA-D7-A74A	3
TCGA-BR-8677	3
TCGA-HU-A4GD	3
TCGA-RD-A8N6	3
TCGA-BR-7703	3
TCGA-D7-6519	3
TCGA-BR-7723	3
TCGA-BR-4257	3
TCGA-BR-A44T	3
TCGA-BR-A4CR	3
TCGA-BR-6564	3
TCGA-CG-5717	3
TCGA-D7-A4YT	3
TCGA-HU-A4G3	3
TCGA-BR-A4J9	3
TCGA-BR-8485	3
TCGA-MX-A666	3
TCGA-VQ-A8PU	3
TCGA-CD-5804	3
TCGA-BR-7717	3
TCGA-BR-4191	3
TCGA-HU-A4GQ	3
TCGA-BR-A4J1	3
TCGA-R5-A7ZF	3
TCGA-VQ-A91A	3
TCGA-BR-8590	3
TCGA-R5-A7O7	3
TCGA-D7-8572	3
TCGA-RD-A7BW	3
TCGA-D7-A6EZ	3
TCGA-HU-A4H2	3
TCGA-CG-4306	3
TCGA-BR-8081	3
TCGA-CG-4436	3
TCGA-IN-8663	3
TCGA-BR-6707	3
TCGA-CG-5722	3
TCGA-CD-5801	3
TCGA-VQ-A8PH	3
TCGA-VQ-A8PD	3
TCGA-CG-4476	3
TCGA-VQ-A8DZ	3
TCGA-HU-A4GU	3
TCGA-BR-8058	3
TCGA-B7-A5TI	3
TCGA-BR-4187	3
TCGA-CD-8532	3
TCGA-FP-8631	3
TCGA-D7-6820	3
TCGA-VQ-A94T	3
TCGA-B7-A5TJ	3
TCGA-IP-7968	3
TCGA-BR-8591	3
TCGA-CD-8529	3
TCGA-BR-4294	1
TCGA-BR-6455	3
TCGA-BR-8676	3
TCGA-VQ-A91W	3
TCGA-VQ-A8PP	3
TCGA-D7-8574	3
TCGA-CD-8536	3
