sample_name	cluster
TCGA-D1-A0ZZ	2
TCGA-BK-A0C9	4
TCGA-AX-A2HD	3
TCGA-B5-A11J	3
TCGA-B5-A0JZ	3
TCGA-D1-A1NU	2
TCGA-AP-A1DO	3
TCGA-EC-A24G	4
TCGA-AJ-A3IA	2
TCGA-E6-A1LX	3
TCGA-EY-A72D	2
TCGA-AP-A05O	3
TCGA-EY-A1GS	1
TCGA-BG-A0MQ	3
TCGA-EY-A5W2	3
TCGA-AP-A1DH	3
TCGA-D1-A17F	4
TCGA-AP-A1DM	3
TCGA-EY-A1GX	3
TCGA-BG-A0M6	2
TCGA-BS-A0U8	3
TCGA-D1-A168	2
TCGA-FI-A2D5	3
TCGA-AJ-A3BD	2
TCGA-BG-A0W1	4
TCGA-AX-A0IU	2
TCGA-AP-A0LL	3
TCGA-B5-A3S1	2
TCGA-BG-A222	3
TCGA-D1-A0ZN	3
TCGA-BG-A0M0	4
TCGA-D1-A17T	4
TCGA-AJ-A6NU	1
TCGA-D1-A0ZQ	4
TCGA-A5-A2K7	3
TCGA-AX-A2H7	4
TCGA-EO-A1Y7	4
TCGA-BG-A18B	3
TCGA-A5-A2K5	3
TCGA-B5-A1MV	4
TCGA-BK-A139	3
TCGA-A5-A0R9	4
TCGA-A5-A0GN	3
TCGA-A5-A0G1	1
TCGA-FI-A2D0	1
TCGA-FI-A2CY	2
TCGA-AP-A0LM	4
TCGA-DF-A2KN	3
TCGA-D1-A163	3
TCGA-AX-A1CI	3
TCGA-B5-A1MR	1
TCGA-A5-A0R6	2
TCGA-BS-A0U9	2
TCGA-AJ-A3NG	4
TCGA-QF-A5YT	4
TCGA-AJ-A5DV	4
TCGA-A5-A2K4	1
TCGA-BS-A0TJ	3
TCGA-D1-A0ZO	4
TCGA-D1-A179	2
TCGA-A5-A0GD	3
TCGA-EC-A1NJ	4
TCGA-B5-A3FA	2
TCGA-D1-A17N	4
TCGA-FI-A3PV	2
TCGA-A5-A0GJ	3
TCGA-BG-A0MU	3
TCGA-B5-A11R	4
TCGA-A5-A0GH	3
TCGA-B5-A3FH	4
TCGA-EY-A2OP	3
TCGA-EY-A1GD	3
TCGA-EY-A1GH	4
TCGA-B5-A1MX	3
TCGA-AP-A0LV	4
TCGA-BG-A3PP	2
TCGA-PG-A7D5	2
TCGA-BS-A0TD	4
TCGA-EY-A215	3
TCGA-A5-A0RA	4
TCGA-AX-A2H5	2
TCGA-A5-A2K3	1
TCGA-EY-A1GE	4
TCGA-BG-A0LW	4
TCGA-D1-A177	3
TCGA-EY-A1GK	3
TCGA-AX-A05Z	3
TCGA-AX-A2HJ	3
TCGA-B5-A1MZ	4
TCGA-D1-A16G	1
TCGA-KP-A3W3	2
TCGA-AJ-A3I9	4
TCGA-AX-A1C4	3
TCGA-A5-A0GP	3
TCGA-DI-A1NO	2
TCGA-K6-A3WQ	2
TCGA-BG-A0M2	4
TCGA-BG-A0YU	4
TCGA-BG-A0YV	2
TCGA-SJ-A6ZI	3
TCGA-AX-A3FT	1
TCGA-AX-A3G8	3
TCGA-B5-A0JV	3
TCGA-B5-A11G	4
TCGA-A5-A0GB	3
TCGA-BG-A2AE	1
TCGA-FI-A2EX	1
TCGA-SJ-A6ZJ	4
TCGA-AX-A3FV	2
TCGA-BG-A3EW	3
TCGA-AJ-A23N	2
TCGA-AX-A1CE	3
TCGA-BK-A6W4	4
TCGA-AX-A2H4	1
TCGA-BS-A0V4	3
TCGA-BS-A0UL	4
TCGA-D1-A17Q	3
TCGA-AJ-A23M	2
TCGA-D1-A175	4
TCGA-BS-A0TI	4
TCGA-D1-A16Q	4
TCGA-DI-A1BY	4
TCGA-AJ-A3OK	4
TCGA-BG-A0MA	4
TCGA-AP-A054	3
TCGA-D1-A169	4
TCGA-AJ-A2QM	2
TCGA-5S-A9Q8	3
TCGA-B5-A1N2	2
TCGA-AX-A2HG	1
