sample_name	cluster
TCGA-WC-A888	3
TCGA-V4-A9EO	1
TCGA-V4-A9F4	4
TCGA-VD-AA8N	3
TCGA-YZ-A985	3
TCGA-V4-A9F8	1
TCGA-VD-AA8M	4
TCGA-WC-A885	4
TCGA-VD-A8KB	4
TCGA-WC-A881	4
TCGA-VD-A8KD	3
TCGA-V4-A9EA	4
TCGA-VD-A8KN	3
TCGA-WC-A87T	4
TCGA-V4-A9E9	4
TCGA-V3-A9ZY	4
TCGA-VD-A8KG	1
TCGA-V4-A9EQ	3
TCGA-YZ-A984	4
TCGA-V4-A9EU	3
TCGA-VD-A8KO	4
TCGA-V4-A9F2	1
TCGA-V4-A9F3	3
TCGA-V4-A9EX	3
TCGA-WC-A882	1
TCGA-VD-A8KK	3
TCGA-V4-A9EI	3
TCGA-VD-AA8R	4
TCGA-V4-A9F7	4
TCGA-V3-A9ZX	2
TCGA-VD-A8KF	3
TCGA-WC-AA9E	4
TCGA-V4-A9EW	1
TCGA-VD-AA8S	4
TCGA-V4-A9EL	3
TCGA-V4-A9F1	3
TCGA-YZ-A983	4
TCGA-VD-AA8Q	4
TCGA-YZ-A982	4
TCGA-RZ-AB0B	3
TCGA-WC-A880	4
TCGA-V4-A9EY	4
TCGA-V4-A9F5	3
TCGA-V4-A9EK	4
TCGA-V4-A9E8	1
TCGA-V4-A9EV	3
TCGA-V4-A9EJ	4
TCGA-V4-A9ED	3
TCGA-VD-A8KE	4
TCGA-VD-AA8T	1
TCGA-V4-A9EM	1
TCGA-V4-A9EH	4
TCGA-WC-A884	2
TCGA-V4-A9EZ	1
TCGA-VD-AA8P	3
TCGA-V4-A9EC	4
TCGA-WC-A87Y	2
TCGA-VD-AA8O	1
TCGA-V4-A9E7	3
TCGA-VD-A8KH	1
TCGA-WC-A87U	4
TCGA-VD-A8KA	4
TCGA-V4-A9ES	3
TCGA-V4-A9ET	4
TCGA-VD-A8KI	3
TCGA-WC-A88A	3
TCGA-VD-A8K9	4
TCGA-VD-A8KJ	4
TCGA-V4-A9EF	3
TCGA-WC-A87W	4
TCGA-VD-A8KL	1
TCGA-YZ-A980	2
TCGA-WC-AA9A	1
TCGA-VD-A8K8	3
TCGA-V4-A9F0	1
TCGA-VD-A8KM	3
TCGA-WC-A883	3
TCGA-V4-A9EE	3
TCGA-VD-A8K7	4
TCGA-V4-A9E5	1
